time,Node_Voltage_Min,Node_Voltage_Max,Node_Voltage_Avg
1587719809,3.3000000000000003,3.516,3.36
1587719867,3.3000000000000003,3.516,3.364
1587719924,3.3000000000000003,3.516,3.372
1587719982,3.3000000000000003,3.516,3.372
1587720054,3.3000000000000003,3.516,3.364
1587720169,3.3000000000000003,3.516,3.356
1587722269,3.3000000000000003,3.516,3.4
1587722326,3.3000000000000003,3.516,3.4
1587722513,3.3000000000000003,3.516,3.376
1587722571,3.3000000000000003,3.516,3.36
1587724555,3.3000000000000003,3.516,3.3160000000000003
1587724613,3.3000000000000003,3.516,3.3280000000000003
1587724670,3.3000000000000003,3.516,3.3240000000000003
1587724728,3.3000000000000003,3.516,3.3240000000000003
1587724785,3.3000000000000003,3.516,3.336
1587724843,3.3000000000000003,3.516,3.344
1587724915,3.3000000000000003,3.516,3.332
1587724972,3.3000000000000003,3.516,3.336
1587725030,3.3000000000000003,3.516,3.352
1587725087,3.3000000000000003,3.516,3.352
1587725145,3.3000000000000003,3.516,3.344
1587725202,3.3000000000000003,3.516,3.348
1587725274,3.3000000000000003,3.516,3.356
1587725332,3.3000000000000003,3.516,3.356
1587725562,3.3000000000000003,3.516,3.368
1587725634,3.3000000000000003,3.516,3.368
1587725749,3.3000000000000003,3.516,3.376
1587725864,3.3000000000000003,3.516,3.364
1587725921,3.3000000000000003,3.516,3.376
1587726051,3.3000000000000003,3.516,3.38
1587728323,3.3000000000000003,3.516,3.348
1587728510,3.3000000000000003,3.516,3.336
1587728625,3.3000000000000003,3.516,3.332
1587730423,3.3000000000000003,3.516,3.336
1587730495,3.3000000000000003,3.516,3.3280000000000003
1587730552,3.3000000000000003,3.516,3.34
1587730610,3.3000000000000003,3.516,3.348
1587730667,3.3000000000000003,3.516,3.34
1587730725,3.3000000000000003,3.516,3.344
1587730782,3.3000000000000003,3.516,3.352
1587730854,3.3000000000000003,3.516,3.344
1587730912,3.3000000000000003,3.516,3.352
1587730969,3.3000000000000003,3.516,3.364
1587731027,3.3000000000000003,3.516,3.36
1587731084,3.3000000000000003,3.516,3.36
1587731142,3.3000000000000003,3.516,3.368
1587731444,3.3000000000000003,3.516,3.376
1587731573,3.3000000000000003,3.516,3.38
1587731746,3.3000000000000003,3.516,3.376
